ID,NAME,AUTHOR,YEAR
"1","Need You Now","Lady A","2009"
"2","Blinding Lights","The Weeknd","2019"
"3","Uptown Funk","Mark Ronson ft. Bruno Mars","2014"
"4","Despacito","Luis Fonsi ft. Daddy Yankee","2017"
"5","Rolling in the Deep","Adele","2010"
"6","Happy","Pharrell Williams","2013"
"7","Someone Like You","Adele","2011"
"8","Bad Guy","Billie Eilish","2019"
"9","Sunflower","Post Malone & Swae Lee","2018"
"10","Senorita","Shawn Mendes & Camila Cabello","2019"
"11","Thinking Out Loud","Ed Sheeran","2014"
"12","Perfect","Ed Sheeran","2017"
"13","All of Me","John Legend","2013"
"14","Old Town Road","Lil Nas X","2019"
"15","Rockstar","Post Malone ft. 21 Savage","2017"
"16","Shape of You","Ed Sheeran","2017"
